서비스 ID,서비스명,OPENAPI서비스명,요청주소,요청기본인자,기본샘플명,기본샘플주소,OPENAPI메타URL
OA-10066,서울시 도봉구 공중위생업소 행정처분내역 현황,DobongAdminMesurePublic,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongAdminMesurePublic/요청위치(정수)/요청종료위치(정수)",도봉구 행정처분내역(공중) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongAdminMesurePublic/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10066
OA-10067,서울시 도봉구 식품위생업소 소재지별 운영 현황,DobongFoodHygieneBizLocManage,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongFoodHygieneBizLocManage/요청위치(정수)/요청종료위치(정수)",도봉구 식품위생업소 소재지별운영현황 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongFoodHygieneBizLocManage/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10067
OA-10068,서울시 도봉구 공중위생업소 소재지별 운영 현황,DobongPublicHygieneBizLocManage,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongPublicHygieneBizLocManage/요청위치(정수)/요청종료위치(정수)",도봉구 공중위생업소 소재지별운영현황 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongPublicHygieneBizLocManage/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10068
OA-10069,서울시 도봉구 식품위생업소 식품수거검사 현황,DobongFoodCollectCheckHygieneBiz,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongFoodCollectCheckHygieneBiz/요청위치(정수)/요청종료위치(정수)",도봉구 식품수거검사(식품위생업소) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongFoodCollectCheckHygieneBiz/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10069
OA-10070,서울시 도봉구 전체 식품수거검사 현황,DobongFoodCollectCheck,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongFoodCollectCheck/요청위치(정수)/요청종료위치(정수)",도봉구 식품수거검사(전체) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongFoodCollectCheck/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10070
OA-10071,서울시 도봉구 위생업소 전체 행정처분내역 현황,DobongAdminMesure,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongAdminMesure/요청위치(정수)/요청종료위치(정수)",도봉구 행정처분내역(전체) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongAdminMesure/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10071
OA-10081,서울시 도봉구 모범음식점 취소 현황,DobongModelRestaurantCancel,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongModelRestaurantCancel/요청위치(정수)/요청종료위치(정수)",도봉구 모범음식점(취소현황) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongModelRestaurantCancel/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10081
OA-10082,서울시 도봉구 모범음식점 신청 현황,DobongModelRestaurantApply,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongModelRestaurantApply/요청위치(정수)/요청종료위치(정수)",도봉구 모범음식점(신청현황) 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongModelRestaurantApply/1/5/,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10082
OA-10092,서울시 도봉구 노동조합 현황,DobongListLaborUnion,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongListLaborUnion/요청위치(정수)/요청종료위치(정수)",도봉구 노동조합대장 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongListLaborUnion/1/5,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10092
OA-10096,서울시 도봉구 대부업 현황,DobongListLoanCompany,http://openAPI.dobong.go.kr:8088,"/인증키/요청타입(xml,xls,json)/DobongListLoanCompany/요청위치(정수)/요청종료위치(정수)",도봉구 대부업등록대장 조회,http://openAPI.dobong.go.kr:8088/sample/xml/DobongListLoanCompany/1/5,https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-10096
